log_data_id,vin,seq,timestamp_IST,trigger_timestamp_IST,trigger_source_event
2224,MA1VP271BR6J81417,-14.2,56:11.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.2,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.1,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2224,MA1VP271BR6J81417,-14.9,05:53.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.9,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.8,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.7,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.6,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.5,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.4,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.3,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.2,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.1,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14,05:54.0,06:08.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.9,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.8,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.7,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.6,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.5,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.4,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.3,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.2,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.1,38:21.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14.1,38:22.0,38:36.0,TRIG_AES_WARNING
2224,MA1VP271BR6J81417,-14,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.9,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.8,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.7,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.6,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.5,56:12.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.4,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.3,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.2,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.1,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2225,MA1VP271BR6J81417,-13.9,05:54.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.8,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.7,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.6,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.5,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.4,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.3,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.2,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.1,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13,05:55.0,06:08.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.9,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.8,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.7,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.6,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.5,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.4,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.3,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.2,38:22.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13.1,38:23.0,38:36.0,TRIG_AES_WARNING
2225,MA1VP271BR6J81417,-13,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.9,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.8,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.7,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.6,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.5,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.4,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.3,56:13.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.2,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.1,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2226,MA1VP271BR6J81417,-12.9,05:55.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.9,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.8,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.7,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.6,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.5,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.4,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.3,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.2,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.1,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12,05:56.0,06:08.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.9,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.8,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.7,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.6,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.5,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.4,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.3,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.2,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.1,38:23.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12.1,38:24.0,38:36.0,TRIG_AES_WARNING
2226,MA1VP271BR6J81417,-12,38:24.0,38:36.0,TRIG_AES_WARNING
2227,MA1VP271BR6J81417,-11.9,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2227,MA1VP271BR6J81417,-11.8,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2227,MA1VP271BR6J81417,-11.7,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2227,MA1VP271BR6J81417,-11.6,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
2227,MA1VP271BR6J81417,-11.5,56:14.0,56:26.0,TRIG_AEB_WARNING_MSG
