trigger_source_event,Signal,Max of Physical_Value,Average of Physical_Value,Min of Physical_Value
TRIG_AEB_WARNING_MSG,DSTSR_SIGN_PANEL_WIDTH,1.21,0.296734694,0
TRIG_AEB_WARNING_MSG,DSTSR_SIGN_SHAPE,2,0.466666667,0
TRIG_AEB_WARNING_MSG,DTC_ACTV,1,0.09947644,0
TRIG_AEB_WARNING_MSG,DV_ACC_TIMEGAP_DISTANCE_COLOR,0,0,0
TRIG_AEB_WARNING_MSG,DV_ACC_TIMEGAP_DISTANCE_INDCTR,255,255,255
TRIG_AEB_WARNING_MSG,DV_OBJ_1_HEADING,3.14,-0.23718254,-3.06
TRIG_AEB_WARNING_MSG,DV_OBJ_1_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_1_LATERAL_DISTANCE,8.25,-0.757996324,-6.35
TRIG_AEB_WARNING_MSG,DV_OBJ_1_LENGTH,12,2.739896373,0
TRIG_AEB_WARNING_MSG,DV_OBJ_1_LONGITUDINAL_DISTANCE,115.75,8.353166069,-27.35
TRIG_AEB_WARNING_MSG,DV_OBJ_1_OBJECT_COLOR,3,1.347222222,0
TRIG_AEB_WARNING_MSG,DV_OBJ_1_OBJECT_TYPE,8,3.827956989,0
TRIG_AEB_WARNING_MSG,DV_OBJ_1_ORIENTATION_DIRECTION,12,10.05479452,0
TRIG_AEB_WARNING_MSG,DV_OBJ_1_STATUS,1,0.745098039,0
TRIG_AEB_WARNING_MSG,DV_OBJ_1_WIDTH,2.95,1.315263158,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_HEADING,3.14,0.24125,-3.12
TRIG_AEB_WARNING_MSG,DV_OBJ_2_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_LATERAL_DISTANCE,6.5,0.208064516,-6.45
TRIG_AEB_WARNING_MSG,DV_OBJ_2_LENGTH,7.35,2.25238806,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_LONGITUDINAL_DISTANCE,115.75,15.79071906,-29.8
TRIG_AEB_WARNING_MSG,DV_OBJ_2_OBJECT_COLOR,1,0.493150685,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_OBJECT_TYPE,8,3.165217391,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_ORIENTATION_DIRECTION,12,8.736842105,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_STATUS,1,0.493150685,0
TRIG_AEB_WARNING_MSG,DV_OBJ_2_WIDTH,2.95,1.006514085,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_HEADING,3.12,0.337875,-3.11
TRIG_AEB_WARNING_MSG,DV_OBJ_3_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_LATERAL_DISTANCE,6.4,0.220117188,-6.35
TRIG_AEB_WARNING_MSG,DV_OBJ_3_LENGTH,10.65,2.50942029,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_LONGITUDINAL_DISTANCE,115.75,18.20345395,-29.3
TRIG_AEB_WARNING_MSG,DV_OBJ_3_OBJECT_COLOR,1,0.419354839,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_OBJECT_TYPE,8,2.789473684,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_ORIENTATION_DIRECTION,12,5.396226415,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_STATUS,1,0.419354839,0
TRIG_AEB_WARNING_MSG,DV_OBJ_3_WIDTH,2.95,1.044791667,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_HEADING,3.11,0.313333333,-2.93
TRIG_AEB_WARNING_MSG,DV_OBJ_4_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_LATERAL_DISTANCE,6.2,-0.197983871,-6.15
TRIG_AEB_WARNING_MSG,DV_OBJ_4_LENGTH,11.1,1.968981481,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_LONGITUDINAL_DISTANCE,115.75,21.63865248,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_OBJECT_COLOR,1,0.344827586,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_OBJECT_TYPE,6,1.881578947,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_ORIENTATION_DIRECTION,12,5.163636364,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_STATUS,1,0.344827586,0
TRIG_AEB_WARNING_MSG,DV_OBJ_4_WIDTH,2.95,0.81559633,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_HEADING,3.11,0.39725,-0.82
TRIG_AEB_WARNING_MSG,DV_OBJ_5_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_LATERAL_DISTANCE,4,-0.747058824,-5.85
TRIG_AEB_WARNING_MSG,DV_OBJ_5_LENGTH,4.6,1.183653846,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_LONGITUDINAL_DISTANCE,115.75,18.69214286,-22.3
TRIG_AEB_WARNING_MSG,DV_OBJ_5_OBJECT_COLOR,1,0.195652174,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_OBJECT_TYPE,8,0.775510204,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_ORIENTATION_DIRECTION,12,2.891891892,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_STATUS,1,0.195652174,0
TRIG_AEB_WARNING_MSG,DV_OBJ_5_WIDTH,2.9,0.612096774,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_HEADING,3.11,0.374054054,-1.71
TRIG_AEB_WARNING_MSG,DV_OBJ_6_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_LATERAL_DISTANCE,4.85,-0.45,-6.3
TRIG_AEB_WARNING_MSG,DV_OBJ_6_LENGTH,4.6,0.46,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_LONGITUDINAL_DISTANCE,115.75,17.60777778,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_OBJECT_COLOR,1,0.195121951,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_OBJECT_TYPE,5,0.857142857,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_ORIENTATION_DIRECTION,12,2.75,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_STATUS,1,0.195121951,0
TRIG_AEB_WARNING_MSG,DV_OBJ_6_WIDTH,1.85,0.284444444,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_HEADING,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_LATERAL_DISTANCE,3.25,-0.017142857,-3.4
TRIG_AEB_WARNING_MSG,DV_OBJ_7_LENGTH,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_LONGITUDINAL_DISTANCE,33.05,3.570833333,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_OBJECT_COLOR,1,0.138888889,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_OBJECT_TYPE,5,0.694444444,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_ORIENTATION_DIRECTION,12,1.818181818,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_STATUS,1,0.138888889,0
TRIG_AEB_WARNING_MSG,DV_OBJ_7_WIDTH,0.6,0.068055556,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_HEADING,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_HEIGHT,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_LATERAL_DISTANCE,1.8,-0.021428571,-2.8
TRIG_AEB_WARNING_MSG,DV_OBJ_8_LENGTH,0,0,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_LONGITUDINAL_DISTANCE,29.65,2.265277778,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_OBJECT_COLOR,1,0.083333333,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_OBJECT_TYPE,5,0.416666667,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_ORIENTATION_DIRECTION,12,0.727272727,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_STATUS,1,0.083333333,0
TRIG_AEB_WARNING_MSG,DV_OBJ_8_WIDTH,0.55,0.026388889,0
TRIG_AEB_WARNING_MSG,EBD_ACTIVE,1,0.07027027,0
TRIG_AEB_WARNING_MSG,EBP_ACTIVE,1,0.04519774,0
TRIG_AEB_WARNING_MSG,ELK_AES_FAIL_INFO,0,0,0
TRIG_AEB_WARNING_MSG,ELK_AVOID_AREA_FRONT,1,0.571428571,0
TRIG_AEB_WARNING_MSG,ELK_AVOID_AREA_LEFT,1,0.96875,0
TRIG_AEB_WARNING_MSG,ELK_AVOID_AREA_REAR,1,0.914285714,0
TRIG_AEB_WARNING_MSG,ELK_AVOID_AREA_RIGHT,1,1,1
TRIG_AEB_WARNING_MSG,ELK_COL_RISK,0,0,0
TRIG_AEB_WARNING_MSG,ELK_DRV_ACC_INTENTION,2,0.553191489,0
TRIG_AEB_WARNING_MSG,ELK_LDD_ONCOMING,7,1.155555556,0
TRIG_AEB_WARNING_MSG,ELK_LDD_OVERTAKING,7,1.155555556,0
TRIG_AEB_WARNING_MSG,ELK_ONCOMING_SYS_STS,3,2.153846154,2
TRIG_AEB_WARNING_MSG,ELK_ONCOMING_TARGET_TTC,5,3.243902439,0.1
TRIG_AEB_WARNING_MSG,ELK_ONCOMING_WARNING,0,0,0
